ride,mse,accuracy,error,time,lower,upper
DWARFS_TRAIN_SACTMIN,356.043443607416,0.277746049876261,0.450028555111364,37.3801161241196,31.7730987055016,42.9871335427375
PIRATES_OF_CARIBBEAN_SACTMIN,77.5322200726633,0.192226601888349,0.439270327252735,15.2753231276926,12.9840246585389,17.5666215968466
SPLASH_MOUNTAIN_SACTMIN,153.130198305955,0.195000918948723,0.422900202168727,20.585891073945,17.498007412853,23.6737747350364
ALIEN_SAUCERS_SACTMIN,75.0363409314881,0.339869281045752,0.454545454545455,24.1320063378888,20.5122053872054,27.751807288572
ROCK_N_ROLLERCOASTER_SACTMIN,200.87766582466,0.24627535451445,0.449290971100343,26.9103242984504,22.8737756536827,30.9468729432178
SLINKY_DOG_SACTMIN,291.05261747195,0.296750902527076,0.449819494584834,41.7718411552346,35.5060649819495,48.0376173285199
TOY_STORY_MANIA_SACTMIN,354.427012560157,0.247386759581882,0.423210935406062,29.7699455016523,25.3044536764049,34.2354373269007
DINOSAUR_SACTMIN,107.235555393312,0.182160016711928,0.406517651974095,16.2850254160574,13.8422716036488,18.727779228466
EXPEDITION_EVEREST_SACTMIN,76.9136761357074,0.189871548796693,0.419459619075742,14.5474432796889,12.3653267877356,16.7295597716423
FLIGHT_OF_PASSAGE_SACTMIN,1391.42732439747,0.29664570230608,0.451781970649894,70.9581003959932,60.3143853365944,81.6018154553926
KILIMANJARO_SAFARIS_SACTMIN,167.777086773012,0.160664819944598,0.415908191531462,19.4811370531593,16.5589664951853,22.4033076111331
NAVI_RIVER_SACTMIN,207.134062497422,0.251839738348324,0.446852003270645,29.3738757154538,24.9677943581357,33.7799570727719
SOARIN_SACTMIN,136.726913536783,0.262289932464269,0.439610491597302,25.5813831736557,21.7441756976075,29.4185906497042
SPACESHIP_EARTH_SACTMIN,34.3723397210897,0.134246575342466,0.390727081138041,7.66396206533201,6.51436775553213,8.81355637513171
